90
аз	Ppe-os1
мене	Ppelas1
мен	Ppelas1
ме	Ppetas1
на мене	Ppelds1
на мен	Ppelds1
ми	Ppetds1

91
ти	Ppe-os2
тебе	Ppelas2
теб	Ppelas2
те	Ppetas2
на тебе	Ppelds2
на теб	Ppelds2
ти	Ppetds2

92
той	Ppe-os3m
него	Ppelas3m
го	Ppetas3m
нему	Ppelds3m
на него	Ppelds3m
му	Ppetds3m

93
тя	Ppe-os3f
нея	Ppelas3f
я	Ppetas3f
ней	Ppelds3f
на нея	Ppelds3f
ѝ	Ppetds3f
й	Ppetds3f

94
то	Ppe-os3n
него	Ppelas3n
го	Ppetas3n
нему	Ppelds3n
на него	Ppelds3n
му	Ppetds3n

95
ние	Ppe-op1
ний	Ppe-op1
нас	Ppelap1
ни	Ppetap1
нам	Ppeldp1
на нас	Ppeldp1
ни	Ppetdp1

96
вие	Ppe-op2
вий	Ppe-op2
вас	Ppelap2
ви	Ppetap2
вам	Ppeldp2
на вас	Ppeldp2
ви	Ppetdp2

97
те	Ppe-op3
тях	Ppelap3
ги	Ppetap3
тям	Ppeldp3
на тях	Ppeldp3
им	Ppetdp3

98
този	Pde-os-m
тази	Pde-os-f
това	Pde-os-n
тези	Pde-op

99
онзи	Pde-os-m
онази	Pde-os-f
онова	Pde-os-n
онези	Pde-op

100
тоя	Pde-os-m
тая	Pde-os-f
туй	Pde-os-n
тия	Pde-op

101
оня	Pde-os-m
оная	Pde-os-f
онуй	Pde-os-n
ония	Pde-op

102
такъв	Pda--s-m
такава	Pda--s-f
такова	Pda--s-n
такива	Pda--p

103
онакъв	Pda--s-m
онакава	Pda--s-f
онакова	Pda--s-n
онакива	Pda--p

104
толкав	Pda--s-m
толкавия	Pda--s-mh
толкавият	Pda--s-mf
толкава	Pda--s-f
толкавата	Pda--s-fd
толкаво	Pda--s-n
толкавото	Pda--s-nd
толкави	Pda--p
толкавите	Pda--p--d

105
инакъв	Pda--s-m
инаквия	Pda--s-mh
инаквият	Pda--s-mf
инаква	Pda--s-f
инаквата	Pda--s-fd
инакво	Pda--s-n
инаквото	Pda--s-nd
инакви	Pda--p
инаквите	Pda--p--d

106
мой	Psol-s1mi
моя	Psol-s1mh
моят	Psol-s1mf
моя	Psol-s1fi
моята	Psol-s1fd
мое	Psol-s1ni
моето	Psol-s1nd
мои	Psol-p1-i
моите	Psol-p1-d
ми	Psot--1

107
твой	Psol-s2mi
твоя	Psol-s2mh
твоят	Psol-s2mf
твоя	Psol-s2fi
твоята	Psol-s2fd
