142
съм	Vxitf-r1s
си	Vxitf-r2s
е	Vxitf-r3s
сме	Vxitf-r1p
сте	Vxitf-r2p
са	Vxitf-r3p
бях	Vxitf-t1s
бе	Vxitf-t2s
беше	Vxitf-t2s
бе	Vxitf-t3s
беше	Vxitf-t3s
бяхме	Vxitf-t1p
бяхте	Vxitf-t2p
бяха	Vxitf-t3p
бих	Vxitu-o1s
би	Vxitu-o2s
би	Vxitu-o3s
бихме	Vxitu-o1p
бихте	Vxitu-o2p
биха	Vxitu-o3p
бил	Vxitcat-smi
билия	Vxitcat-smh
билият	Vxitcat-smf
била	Vxitcat-sfi
билата	Vxitcat-sfd
било	Vxitcat-sni
билото	Vxitcat-snd
били	Vxitcat-p-i
билите	Vxitcat-p-d
бидейки	Vxitg

143
бъда	Vyptf-r1s
бъдеш	Vyptf-r2s
бъде	Vyptf-r3s
бъдем	Vyptf-r1p
бъдете	Vyptf-r2p
бъдат	Vyptf-r3p
бидох	Vyptf-o1s
биде	Vyptf-o2s
биде	Vyptf-o3s
бидохме	Vyptf-o1p
бидохте	Vyptf-o2p
бидоха	Vyptf-o3p
бъдех	Vyptu-m1s
бъдеше	Vyptu-m2s
бъдеше	Vyptu-m3s
бъдехме	Vyptu-m1p
бъдехте	Vyptu-m2p
бъдеха	Vyptu-m3p
бъди	Vyptz--2s
бъдете	Vyptz--2p
бъдел	Vyptcat-smi
бъделия	Vyptcat-smh
бъделият	Vyptcat-smf
бъдела	Vyptcat-sfi
бъделата	Vyptcat-sfd
бъдело	Vyptcat-sni
бъделото	Vyptcat-snd
бъдели	Vyptcat-p-i
бъделите	Vyptcat-p-d
бъдейки	Vyptg

